,Open,High,Low,Close,Volume,Datetime
2024-07-31 04:15:00,5.8600,5.8600,5.8600,5.8600,100,2024-07-31 04:15:00
2024-07-31 06:00:00,5.8900,5.8900,5.8900,5.8900,167,2024-07-31 06:00:00
2024-07-31 06:30:00,5.8900,5.8900,5.8900,5.8900,100,2024-07-31 06:30:00
2024-07-31 06:45:00,5.8500,5.8700,5.8500,5.8700,230,2024-07-31 06:45:00
2024-07-31 07:00:00,5.8900,5.8900,5.8900,5.8900,65,2024-07-31 07:00:00
2024-07-31 07:15:00,5.8900,5.9000,5.8700,5.9000,501,2024-07-31 07:15:00
2024-07-31 07:30:00,5.9000,5.9000,5.8800,5.8800,1550,2024-07-31 07:30:00
2024-07-31 07:45:00,5.8800,5.9000,5.8800,5.9000,120,2024-07-31 07:45:00
2024-07-31 08:00:00,5.8500,5.9500,5.8500,5.8500,1143,2024-07-31 08:00:00
2024-07-31 08:15:00,5.8500,5.8600,5.8500,5.8600,4,2024-07-31 08:15:00
2024-07-31 08:30:00,5.8600,5.8600,5.8600,5.8600,4000,2024-07-31 08:30:00
2024-07-31 08:45:00,5.8800,5.8800,5.8800,5.8800,200,2024-07-31 08:45:00
2024-07-31 09:00:00,5.8800,5.8800,5.8800,5.8800,750,2024-07-31 09:00:00
2024-07-31 09:15:00,5.8900,5.9000,5.8900,5.9000,2220,2024-07-31 09:15:00
2024-07-31 09:30:00,5.9000,5.9299,5.8900,5.9200,127743,2024-07-31 09:30:00
2024-07-31 09:45:00,5.9199,5.9300,5.8900,5.9000,76290,2024-07-31 09:45:00
2024-07-31 10:00:00,5.8900,5.9200,5.8900,5.9000,52737,2024-07-31 10:00:00
2024-07-31 10:15:00,5.8999,5.9000,5.8550,5.8699,39628,2024-07-31 10:15:00
2024-07-31 10:30:00,5.8699,5.8938,5.8600,5.8900,18350,2024-07-31 10:30:00
2024-07-31 10:45:00,5.8900,5.9100,5.8800,5.8900,79979,2024-07-31 10:45:00
2024-07-31 11:00:00,5.8900,5.9000,5.8900,5.9000,74362,2024-07-31 11:00:00
2024-07-31 11:15:00,5.9000,5.9050,5.8900,5.8950,67106,2024-07-31 11:15:00
2024-07-31 11:30:00,5.8950,5.9000,5.8850,5.8999,32264,2024-07-31 11:30:00
2024-07-31 11:45:00,5.8900,5.9000,5.8850,5.8850,12266,2024-07-31 11:45:00
2024-07-31 12:00:00,5.8900,5.9198,5.8900,5.9162,65529,2024-07-31 12:00:00
2024-07-31 12:15:00,5.9200,5.9200,5.9000,5.9000,171317,2024-07-31 12:15:00
2024-07-31 12:30:00,5.9050,5.9100,5.8900,5.8948,118298,2024-07-31 12:30:00
2024-07-31 12:45:00,5.8800,5.9000,5.8800,5.8900,432968,2024-07-31 12:45:00
2024-07-31 13:00:00,5.8900,5.9000,5.8850,5.8986,12793,2024-07-31 13:00:00
2024-07-31 13:15:00,5.8950,5.9100,5.8903,5.9000,295458,2024-07-31 13:15:00
2024-07-31 13:30:00,5.9093,5.9294,5.8997,5.9264,16589,2024-07-31 13:30:00
2024-07-31 13:45:00,5.9200,5.9300,5.9100,5.9198,80756,2024-07-31 13:45:00
2024-07-31 14:00:00,5.9100,5.9200,5.8800,5.8900,37513,2024-07-31 14:00:00
2024-07-31 14:15:00,5.8900,5.9000,5.8600,5.8800,16995,2024-07-31 14:15:00
2024-07-31 14:30:00,5.8727,5.9093,5.8700,5.9050,498732,2024-07-31 14:30:00
2024-07-31 14:45:00,5.9050,5.9100,5.8950,5.9000,28762,2024-07-31 14:45:00
2024-07-31 15:00:00,5.9079,5.9100,5.8750,5.8772,208332,2024-07-31 15:00:00
2024-07-31 15:15:00,5.8800,5.8800,5.8210,5.8299,133097,2024-07-31 15:15:00
2024-07-31 15:30:00,5.8400,5.8531,5.8210,5.8395,51103,2024-07-31 15:30:00
2024-07-31 15:45:00,5.8300,5.8300,5.7600,5.7897,115948,2024-07-31 15:45:00
2024-07-31 16:00:00,5.7900,5.8100,5.7600,5.7800,14300,2024-07-31 16:00:00
2024-07-31 16:15:00,5.7800,5.7863,5.7401,5.7600,1693363,2024-07-31 16:15:00
2024-07-31 16:30:00,5.7500,5.7500,5.7300,5.7500,10941,2024-07-31 16:30:00
2024-07-31 16:45:00,5.7500,5.7500,5.7300,5.7500,984,2024-07-31 16:45:00
2024-07-31 17:00:00,5.7500,5.7800,5.7200,5.7700,1196,2024-07-31 17:00:00
2024-07-31 17:15:00,5.7600,5.8100,5.7500,5.7500,944,2024-07-31 17:15:00
2024-07-31 17:30:00,5.9300,5.9300,5.7000,5.7200,2439,2024-07-31 17:30:00
2024-07-31 17:45:00,5.7300,5.9600,5.7200,5.7999,2951,2024-07-31 17:45:00
2024-07-31 18:00:00,5.8000,5.8100,5.7600,5.7600,25353,2024-07-31 18:00:00
2024-07-31 18:15:00,5.7795,5.7800,5.7100,5.7500,8242,2024-07-31 18:15:00
2024-07-31 18:30:00,5.7897,5.7897,5.7400,5.7700,2211,2024-07-31 18:30:00
2024-07-31 18:45:00,5.7600,5.7700,5.7500,5.7601,2400,2024-07-31 18:45:00
2024-07-31 19:00:00,5.7600,5.7700,5.7400,5.7400,3669,2024-07-31 19:00:00
2024-07-31 19:15:00,5.7300,5.7500,5.7300,5.7500,5197,2024-07-31 19:15:00
2024-07-31 19:30:00,5.7500,5.7500,5.7400,5.7500,2521,2024-07-31 19:30:00
2024-07-31 19:45:00,5.7500,5.7500,5.7300,5.7499,1326,2024-07-31 19:45:00
2024-07-31 20:00:00,5.7897,5.7897,5.7897,5.7897,100,2024-07-31 20:00:00
